Video_Name,Img_Path,Frame_ID,Ear_back_x,Ear_back_y,Ear_front_x,Ear_front_y,Ear_bottom_x,Ear_bottom_y,Ear_top_x,Ear_top_y,Eye_back_x,Eye_back_y,Eye_front_x,Eye_front_y,Eye_bottom_x,Eye_bottom_y,Eye_top_x,Eye_top_y,Nose_top_x,Nose_top_y,Nose_bottom_x,Nose_bottom_y,Mouth_x,Mouth_y,Stimuli
018757-2023-06-08 08-53-33,img_50.jpg,50,818.6677856445312,207.06419372558597,666.2532958984375,266.6444091796875,741.0750122070312,295.74169921875,727.2191162109375,195.97950744628903,576.1902465820312,204.2930145263672,531.8514404296875,187.66598510742188,544.3217163085938,208.4497833251953,562.3343505859375,184.89480590820312,421.0045471191406,130.85694885253906,405.76312255859375,153.02633666992188,423.7757263183594,250.01736450195312,baseline
018757-2023-06-08 08-53-33,img_123.jpg,123,1154.963623046875,274.7832336425781,1249.1217041015625,408.4876708984375,1202.9842529296875,359.5254821777344,1218.049560546875,305.8554077148437,1323.506591796875,361.4086608886719,1349.870849609375,343.51861572265625,1342.3382568359375,362.3502502441406,1331.9808349609375,345.4017944335937,1434.613037109375,318.095947265625,1449.6783447265625,357.642333984375,1440.2625732421875,433.9103698730469,baseline
018757-2023-06-08 08-53-33,img_199.jpg,199,963.010498046875,162.7691192626953,864.4086303710938,280.3328552246094,931.4073486328124,279.0687255859375,875.7857666015625,189.31576538085935,773.3915405273438,246.20144653320312,729.1471557617188,231.03192138671875,748.1090698242188,252.52207946777344,754.4296875,224.7113037109375,592.6215209960938,203.2211456298828,582.508544921875,228.5036773681641,601.4703979492188,299.29473876953125,baseline
018757-2023-06-08 08-53-33,img_368.jpg,368,875.7808227539062,346.74139404296875,824.910400390625,482.7901916503906,894.7093505859375,457.9465026855469,809.531005859375,352.65655517578125,723.1695556640625,591.6292114257812,685.3125,623.5711059570312,711.3392333984375,615.2899169921875,688.8616333007812,586.8970947265625,576.4734497070312,774.9993286132812,613.1475219726562,788.0126953125,695.9598388671875,798.6600341796875,baseline
018757-2023-06-08 08-53-33,img_707.jpg,707,857.80615234375,390.7446594238281,781.9554443359375,495.7687072753906,860.1400146484375,492.2679138183594,767.9522705078125,381.4091796875,697.9362182617188,621.7975463867188,653.5927734375,671.9757080078125,676.931396484375,656.8056030273438,662.92822265625,632.2999877929688,562.5718994140625,823.6771240234375,603.4146118164062,841.18115234375,672.263671875,843.5150146484375,baseline
018757-2023-06-08 08-53-33,img_916.jpg,916,842.8770751953125,396.6311340332031,772.7026977539062,508.2199401855469,835.9746704101562,495.5655517578125,753.1458740234375,386.2775573730469,694.4755249023438,622.1095581054688,647.30908203125,660.07275390625,670.3170776367188,654.3207397460938,659.9635009765625,625.5607299804688,551.825927734375,817.677490234375,584.037109375,830.3319091796875,658.8131103515625,840.6854858398438,baseline
018757-2023-06-08 08-53-33,img_997.jpg,997,832.16845703125,390.4025573730469,767.6906127929688,510.1471862792969,835.6226196289062,503.2388610839844,750.4197387695312,386.9483642578125,691.6987915039062,624.1348876953125,645.6431884765625,662.1307983398438,669.8223876953125,654.071044921875,657.1571044921875,627.5890502929688,551.2291259765625,815.2657470703125,583.4680786132812,838.2935791015625,657.1571044921875,842.8991088867188,baseline
018757-2023-06-08 08-53-33,img_1068.jpg,1068,1066.736083984375,233.79786682128903,1206.566162109375,365.7130432128906,1161.715087890625,348.5640563964844,1205.2470703125,281.2873229980469,1321.3323974609375,405.28759765625,1364.8643798828125,419.79827880859375,1339.800537109375,425.0748596191406,1342.4388427734375,400.010986328125,1476.9923095703125,493.6707763671875,1459.8433837890625,520.0537719726562,1387.2900390625,567.5432739257812,baseline
018757-2023-06-08 08-53-33,img_1152.jpg,1152,765.375244140625,413.1336975097656,695.8517456054688,544.331298828125,760.8898315429688,521.9043579101562,680.1528930664062,437.8033142089844,612.8720703125,635.1603393554688,565.7755126953125,665.4367065429688,592.6878662109375,664.3153686523438,579.231689453125,636.28173828125,451.3981323242188,792.14892578125,487.28125,822.42529296875,575.8676147460938,835.8814697265625,baseline
018757-2023-06-08 08-53-33,img_1339.jpg,1339,757.21240234375,411.24359130859375,680.335693359375,544.6472778320312,749.2986450195312,524.2975463867188,673.552490234375,410.113037109375,597.8062744140625,637.3515014648438,550.3236083984375,662.223388671875,576.3260498046875,658.831787109375,563.89013671875,636.220947265625,427.0948181152344,786.582763671875,458.74993896484375,814.8462524414062,545.8014526367188,836.3264770507812,baseline
018757-2023-06-08 08-53-33,img_2212.jpg,2212,751.7958984375,417.4304504394531,683.7540893554688,548.02685546875,749.6010131835938,524.9804077148438,666.1948852539062,417.4304504394531,597.0556030273438,643.5048828125,547.67041015625,663.2589721679688,574.0092163085938,663.2589721679688,561.937255859375,638.0176391601562,431.3408508300781,783.9783325195312,462.0694274902344,811.41455078125,547.67041015625,834.4609375,baseline
018757-2023-06-08 08-53-33,img_2367.jpg,2367,750.8143310546875,391.9069213867188,699.3135986328125,542.0261840820312,762.8677368164062,505.8660888671875,680.6856689453125,447.7907409667969,596.3120727539062,620.9210205078125,549.1943359375,642.8362426757812,579.8756103515625,641.740478515625,563.439208984375,617.6337280273438,441.8097229003906,740.3589477539062,471.3952941894531,777.6148071289062,554.673095703125,797.3385009765625,baseline
018757-2023-06-08 08-53-33,img_2539.jpg,2539,772.1610717773438,447.002197265625,706.229248046875,523.7424926757812,779.7269897460938,521.580810546875,702.9867553710938,396.2023010253906,630.56982421875,623.1806030273438,583.0125122070312,651.2826538085938,603.5486450195312,645.87841796875,593.8209838867188,627.5039672851562,469.5233459472656,776.6611328125,503.0296630859375,810.1674194335938,579.7699584960938,827.4610595703125,baseline
018757-2023-06-08 08-53-33,img_2606.jpg,2606,770.7674560546875,418.0642395019531,691.8759155273438,517.2421875,764.00537109375,521.7503051757812,678.3516845703125,397.77783203125,606.2222290039062,633.3255004882812,565.6494140625,664.8821411132812,593.8250122070312,660.3740234375,579.1737060546875,637.8336181640625,472.1065673828125,800.1248168945312,503.6632080078125,824.9193115234375,583.6817626953125,839.570556640625,baseline
018757-2023-06-08 08-53-33,img_2660.jpg,2660,765.995849609375,419.0490417480469,687.5849609375,515.64208984375,761.4502563476562,520.1876831054688,678.493896484375,396.3212585449219,608.0377807617188,632.690185546875,567.1277465820312,664.509033203125,590.991943359375,659.9635009765625,578.4916381835938,636.0993041992188,460.3071899414063,795.1937866210938,498.9444274902344,823.603515625,573.9461059570312,838.3765258789062,baseline
018757-2023-06-08 08-53-33,img_2712.jpg,2712,770.6048583984375,417.0145263671875,688.5315551757812,515.0464477539062,763.765380859375,519.6060791015625,680.55224609375,394.2164001464844,608.7381591796875,633.5967407226562,562.001953125,670.07373046875,591.6395263671875,663.2343139648438,576.8207397460938,637.0164794921875,463.9700012207031,801.1629638671875,501.5869140625,825.1010131835938,581.38037109375,839.9197998046875,baseline
018757-2023-06-08 08-53-33,img_2895.jpg,2895,766.8239135742188,419.9213562011719,686.0120239257812,516.66796875,759.9946899414062,522.35888671875,675.768310546875,397.157470703125,606.33837890625,633.9020385742188,563.0869750976562,665.771484375,590.4036865234375,663.4951171875,577.8834838867188,639.593017578125,466.3403930664063,802.3549194335938,503.90081787109375,827.3952026367188,579.021728515625,841.0535278320312,baseline
018757-2023-06-08 08-53-33,img_2962.jpg,2962,756.6300659179688,416.3099670410156,680.4722900390625,533.906494140625,754.39013671875,513.7471313476562,671.5125732421875,405.11029052734375,595.3547973632812,638.0634765625,559.515869140625,675.0223999023438,587.5150146484375,666.0626220703125,570.7155151367188,643.6632690429688,466.55859375,802.6986083984375,504.6374816894531,827.337890625,577.4353637695312,835.1776733398438,baseline
018757-2023-06-08 08-53-33,img_3069.jpg,3069,1347.4393310546875,452.33642578125,1378.995849609375,592.9884643554688,1345.6361083984375,544.3012084960938,1396.1265869140625,508.2366027832031,1413.2572021484375,682.2484130859375,1429.486328125,703.88720703125,1413.2572021484375,700.2807006835938,1438.50244140625,684.9532470703125,1471.8623046875,801.2616577148438,1453.8299560546875,809.376220703125,1389.815185546875,805.769775390625,baseline
018757-2023-06-08 08-53-33,img_3223.jpg,3223,761.022216796875,401.6417846679688,694.9976806640625,539.19287109375,761.022216796875,502.87939453125,674.0899047851562,433.55364990234375,599.2620849609375,640.4305419921875,556.3461303710938,671.241943359375,583.8563842773438,667.9407348632812,567.3502197265625,642.63134765625,461.71099853515625,782.3832397460938,494.7232666015625,812.0942993164062,577.25390625,820.8975830078125,baseline
018757-2023-06-08 08-53-33,img_3284.jpg,3284,703.981201171875,408.7347106933594,667.1911010742188,568.879638671875,735.3609619140625,522.35107421875,650.960205078125,471.4942321777344,570.8877563476562,638.1315307617188,522.1950073242188,668.42919921875,550.32861328125,664.1009521484375,537.3438720703125,643.5418090820312,418.3171997070313,774.4711303710938,447.5328369140625,810.1791381835938,543.8362426757812,826.4100341796875,baseline
018757-2023-06-08 08-53-33,img_3406.jpg,3406,707.568603515625,407.6637268066406,672.9308471679688,567.8633422851562,734.6293334960938,527.8134155273438,651.2822265625,479.1040954589844,570.0999755859375,642.551025390625,524.637939453125,667.4468994140625,548.4513549804688,665.2820434570312,539.7919311523438,644.7158813476562,422.8894958496094,775.68994140625,452.1151123046875,809.2452392578125,544.1216430664062,826.5641479492188,baseline
018757-2023-06-08 08-53-33,img_3628.jpg,3628,711.3499145507812,408.2735290527344,671.5646362304688,565.2044067382812,741.1889038085938,518.7882690429688,653.8822631835938,464.6360473632813,574.3116455078125,635.933837890625,525.6851806640625,664.6676635742188,552.208740234375,656.931640625,541.1572265625,638.1441650390625,420.6961975097656,763.0258178710938,456.0609130859375,803.916259765625,543.3675537109375,821.5985717773438,baseline
018757-2023-06-08 08-53-33,img_3766.jpg,3766,871.1064453125,283.6925048828125,769.7669067382812,342.2125244140625,808.3045043945312,357.9130249023437,786.8947143554688,260.8554382324219,661.2908325195312,299.3930053710937,617.0439453125,267.99200439453125,638.4537353515625,300.8203125,647.0176391601562,269.4193420410156,467.1756286621094,200.90809631347656,457.1844177246094,230.8817596435547,461.4663696289063,327.9393615722656,baseline
018757-2023-06-08 08-53-33,img_3854.jpg,3854,912.8700561523438,163.54136657714844,1048.9600830078125,281.8101501464844,987.3955688476562,285.0503845214844,1029.5186767578125,182.9828186035156,1191.53076171875,288.2906188964844,1241.75439453125,286.6705017089844,1214.21240234375,304.4918212890625,1227.17333984375,263.98883056640625,1395.6658935546875,317.4527893066406,1390.8055419921875,362.816162109375,1309.7994384765625,443.8221435546875,baseline
018757-2023-06-08 08-53-33,img_3906.jpg,3906,780.41845703125,203.0660858154297,626.0557861328125,279.51239013671875,708.382568359375,305.9745483398437,693.6813354492188,185.4246368408203,526.0875854492188,226.5880279541016,474.6333312988281,206.0063323974609,498.1552734375,232.468505859375,502.5656433105469,197.18560791015625,339.3822021484375,167.78318786621094,323.2108764648437,201.5959625244141,354.0834350585937,301.5641784667969,baseline
018757-2023-06-08 08-53-33,img_3996.jpg,3996,715.5211181640625,375.9962158203125,654.5492553710938,523.4373779296875,721.0640258789062,496.8314514160156,645.6806030273438,379.3219604492188,566.9713745117188,617.666748046875,522.628173828125,652.03271484375,549.2340698242188,645.3812255859375,534.8225708007812,617.666748046875,415.0958862304688,782.84521484375,450.5704345703125,807.2339477539062,534.8225708007812,816.1026000976562,baseline
018757-2023-06-08 08-53-33,img_4259.jpg,4259,787.5039672851562,382.7216796875,665.07568359375,520.8746948242188,727.974609375,499.5339660644531,665.07568359375,371.4897155761719,572.9736938476562,620.8390502929688,523.5531005859375,647.7957153320312,549.3865966796875,642.1797485351562,537.0314331054688,616.3462524414062,400.0016479492188,764.6079711914062,432.5743103027344,799.4270629882812,519.060302734375,812.9053955078125,baseline
018757-2023-06-08 08-53-33,img_4309.jpg,4309,786.8308715820312,385.3287353515625,663.6710815429688,521.9241943359375,727.490234375,502.890380859375,664.7907104492188,374.1323852539063,571.8610229492188,619.3323974609375,519.2381591796875,643.96435546875,548.3486938476562,642.8447265625,534.9130859375,617.0931396484375,400.5569152832031,763.7652587890625,433.02630615234375,793.9954223632812,518.1185302734375,810.7899169921875,baseline
018757-2023-06-08 08-53-33,img_4359.jpg,4359,781.4217529296875,387.3597106933594,661.1458740234375,523.0838623046875,721.8355102539062,502.1183776855469,651.21484375,358.6700439453125,565.1458740234375,621.2908325195312,516.5941162109375,648.8770141601562,543.076904296875,642.25634765625,532.0424194335938,617.98046875,400.7320251464844,766.9459838867188,432.7320251464844,797.8425903320312,517.6975708007812,814.394287109375,baseline
018757-2023-06-08 08-53-33,img_4467.jpg,4467,806.1873168945312,269.812744140625,744.7061767578125,423.0115966796875,805.179443359375,391.76708984375,725.5563354492188,337.3411865234375,651.9805908203125,485.5005798339844,608.6414184570312,513.721435546875,633.838623046875,511.7056579589844,622.7518310546875,484.4927062988281,510.8763732910156,634.6679077148438,542.120849609375,659.8650512695312,626.7833862304688,669.9439086914062,baseline
